,Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,M/Grave,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Latitud,Longitud,Direccion
16355,25/10/2021,8:10,ALTO HOSPICIO,Atropello,Conducción en estado de ebriedad,0,0,1,0,1,URBANO,NOGALES,EL SALITRE,,,,-20.2720142,-70.0963194,"ALTO HOSPICIO, NOGALES, EL SALITRE"
16356,25/10/2021,11:50,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,JORGE BARRERA,ARTURO PRAT,,,,-20.2307033,-70.1356692,"IQUIQUE, JORGE BARRERA, ARTURO PRAT"
16357,25/10/2021,19:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,1,2,URBANO,ARTURO PEREZ CANTO,CESPEDEZ Y GONZALEZ,,,,-20.2248356,-70.1380641,"IQUIQUE, ARTURO PEREZ CANTO, CESPEDEZ Y GONZALEZ"
16358,25/10/2021,21:45,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,SARGENTO ALDEA,GENARO GALLO,,,,-20.2164258,-70.1358155,"IQUIQUE, SARGENTO ALDEA, GENARO GALLO"
16359,26/10/2021,7:20,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,AV. ARTURO PRAT,TADEO HAENKE,,,,-20.2404198,-70.1372473,"IQUIQUE, AV. ARTURO PRAT, TADEO HAENKE"
16360,26/10/2021,12:00,IQUIQUE,Choque,Conducción bajo influencia de drogas o estupefacientes,0,0,0,0,1,URBANO,AMUNATEGUI,,53,,,-20.2088575,-70.1458069,"IQUIQUE, AMUNATEGUI, 53"
16361,26/10/2021,18:45,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,AV. SALVADOR ALLENDE,SANTIAGO POLANCO,,,,-20.2468369,-70.1329274,"IQUIQUE, AV. SALVADOR ALLENDE, SANTIAGO POLANCO"
16362,27/10/2021,8:30,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,AV. ARTURO PRAT,SAGASCA,,,,-20.245836,-70.1401573,"IQUIQUE, AV. ARTURO PRAT, SAGASCA"
16363,27/10/2021,10:00,ALTO HOSPICIO,Choque,Carga obstruye visual conduc.,0,0,0,0,1,URBANO,ESMERALDA,LOS ALAMOS,,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, ESMERALDA, LOS ALAMOS"
16364,27/10/2021,10:05,IQUIQUE,Colisión,Causas no determinadas,0,0,0,0,2,URBANO,MANUEL RODRIGUEZ,JUAN MARTINEZ,,,,-20.2234909,-70.1458415,"IQUIQUE, MANUEL RODRIGUEZ, JUAN MARTINEZ"
16365,27/10/2021,11:00,IQUIQUE,Atropello,Causas no determinadas,0,0,0,1,1,URBANO,CAMPO DEPORTE,SALVADOR ALLENDE,,,,-20.2221337,-70.1355969,"IQUIQUE, CAMPO DEPORTE, SALVADOR ALLENDE"
16366,27/10/2021,11:30,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,GENARO GALLO,SGTO. ALDEA,,,,-20.2164258,-70.1358155,"IQUIQUE, GENARO GALLO, SGTO. ALDEA"
16367,27/10/2021,14:30,ALTO HOSPICIO,Colisión,No respetar derecho preferente de paso a vehículo,0,0,0,0,2,URBANO,TARAPACA,CALETERA A16,,,,-20.2671328,-70.0874421,"ALTO HOSPICIO, TARAPACA, CALETERA A16"
16368,27/10/2021,20:30,ALTO HOSPICIO,Volcadura,Conducción en estado de ebriedad,0,0,0,1,0,URBANO,CALETERA A16,LOS CONDORES,,,,-20.2686722,-70.1049169,"ALTO HOSPICIO, CALETERA A16, LOS CONDORES"
16369,27/10/2021,21:30,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,2,URBANO,LAS ORQUIDEAS,LAS BUGAMBILIAS,,,,-20.2374348,-70.1408384,"IQUIQUE, LAS ORQUIDEAS, LAS BUGAMBILIAS"
16370,28/10/2021,0:00,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,AV. SALVADOR ALLENDE,CASTRO RAMOS,,,,-20.2543166,-70.1260602,"IQUIQUE, AV. SALVADOR ALLENDE, CASTRO RAMOS"
16371,28/10/2021,7:30,IQUIQUE,Choque,Otras causas,0,0,0,0,1,URBANO,AV. LA TIRANA,AV. ARTURO PRAT,,,,-20.2543166,-70.1260602,"IQUIQUE, AV. LA TIRANA, AV. ARTURO PRAT"
16372,28/10/2021,11:00,ALTO HOSPICIO,Atropello,"Peatón, ebriedad del",0,0,0,1,1,URBANO,GLADYS MARIN,,16,,,-20.2927986,-70.1019588,"ALTO HOSPICIO, GLADYS MARIN, 16"
16373,28/10/2021,11:50,IQUIQUE,Choque,Otras causas,0,0,0,0,1,URBANO,SALITRERA VIRGINIA,PASAJE SANTA ELENA,,,,-20.2307033,-70.1356692,"IQUIQUE, SALITRERA VIRGINIA, PASAJE SANTA ELENA"
16374,28/10/2021,13:00,IQUIQUE,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,1,URBANO,MANUEL ANTONIO MATA,,261,,,-20.2414367,-70.1342598,"IQUIQUE, MANUEL ANTONIO MATA, 261"
16375,28/10/2021,15:00,IQUIQUE,Atropello,Otras causas,0,0,0,0,2,URBANO,AEROPUERTO DIEGO ARACENA,ACCESO INTERIOR,,,,-20.547668,-70.1786242,"IQUIQUE, AEROPUERTO DIEGO ARACENA, ACCESO INTERIOR"
16376,28/10/2021,15:15,ALTO HOSPICIO,Choque,Conducción en estado de ebriedad,0,0,0,0,2,URBANO,LAS AMERICAS,DETECTIVE CUBILLOS,,,,-20.2911976,-70.0910832,"ALTO HOSPICIO, LAS AMERICAS, DETECTIVE CUBILLOS"
16377,28/10/2021,20:00,ALTO HOSPICIO,Colisión,"Conducción, cambiar sorpresivamente pista circulación",0,0,0,1,0,URBANO,TRINIDAD,LA PAMPA,,,,-37.8956594,-65.0957792,"ALTO HOSPICIO, TRINIDAD, LA PAMPA"
16378,29/10/2021,10:00,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,2,1,URBANO,BARROS ARANA,OHIGGINS,,,,-20.2186406,-70.1475157,"IQUIQUE, BARROS ARANA, OHIGGINS"
16379,29/10/2021,13:10,IQUIQUE,Atropello,Causas no determinadas,0,0,0,1,1,URBANO,HEROE DE LA CONCEPCION,,1396,,,-20.2300539,-70.1409672,"IQUIQUE, HEROE DE LA CONCEPCION, 1396"
16380,29/10/2021,13:15,IQUIQUE,Colisión,Otras causas,0,0,0,2,1,URBANO,AV. HEROES DE LA CONCEPCION,,2553,,,-20.2328304,-70.1421289,"IQUIQUE, AV. HEROES DE LA CONCEPCION, 2553"
16381,29/10/2021,14:50,IQUIQUE,Colisión,Causas no determinadas,0,0,0,0,2,URBANO,ELIAS LAFFERTE,SALVADOR ALLENDE,,,,-20.2221337,-70.1355969,"IQUIQUE, ELIAS LAFFERTE, SALVADOR ALLENDE"
16382,30/10/2021,9:00,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,1,0,0,2,URBANO,TOMAS BONILLA,ARTURO PEREZ CANTO,,,,-20.2277543,-70.1383159,"IQUIQUE, TOMAS BONILLA, ARTURO PEREZ CANTO"
16383,30/10/2021,18:40,IQUIQUE,Colisión,Otras causas,0,1,0,0,1,URBANO,AV. HEROES DE LA CONCEPCION,,2460,,,-20.2324898,-70.1413245,"IQUIQUE, AV. HEROES DE LA CONCEPCION, 2460"
16384,30/10/2021,21:20,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,TRAIGUEN,,3860,,,-20.2414367,-70.1342598,"IQUIQUE, TRAIGUEN, 3860"
16385,30/10/2021,22:40,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,AV. SALVADOR ALLENDE,,2510,,,-20.2354029,-70.1371481,"IQUIQUE, AV. SALVADOR ALLENDE, 2510"
16386,30/10/2021,22:50,IQUIQUE,Colisión,"Señalización, desobedecer luz roja de semáforo",0,0,0,0,2,URBANO,JUAN MARTINEZ,CESPEDEZ Y GONZALEZ,,,,-20.2244564,-70.145933,"IQUIQUE, JUAN MARTINEZ, CESPEDEZ Y GONZALEZ"
16387,31/10/2021,6:44,IQUIQUE,Otros,Otras causas,0,0,0,0,4,URBANO,MAR TIRREÑO,,2633,,,-20.277532,-70.1263004,"IQUIQUE, MAR TIRREÑO, 2633"
16388,31/10/2021,7:00,IQUIQUE,Choque,Otras causas,0,0,0,0,1,URBANO,AV. ARTURO PRAT,,2740,,,-20.23389,-70.1459146,"IQUIQUE, AV. ARTURO PRAT, 2740"
16389,31/10/2021,17:20,ALTO HOSPICIO,Colisión,Conducción no atento condiciones transito momento,0,0,0,1,0,URBANO,VALPARAISO,LOS LAGOS,,,,-20.2784054,-70.0837187,"ALTO HOSPICIO, VALPARAISO, LOS LAGOS"
16390,01/11/2021,1:30,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,LAGUNA VERDE,,2979,,,-20.2466722,-70.1254177,"IQUIQUE, LAGUNA VERDE, 2979"
16391,01/11/2021,2:15,IQUIQUE,Colisión,Otras causas,0,0,0,0,2,URBANO,AV. FRANCISCO BILBAO,AV. PRESIDENTE SALVADOR ALLENDE,,,,-20.2585494,-70.1314285,"IQUIQUE, AV. FRANCISCO BILBAO, AV. PRESIDENTE SALVADOR ALLENDE"
16392,01/11/2021,4:20,IQUIQUE,Choque,Otras causas,0,0,0,1,0,URBANO,AV. SALVADOR ALLENDE,,2479,,,-20.2341413,-70.1368204,"IQUIQUE, AV. SALVADOR ALLENDE, 2479"
16393,01/11/2021,4:30,IQUIQUE,Choque,Causas no determinadas,0,0,0,0,1,URBANO,BOLIVAR,,881,,,-20.2124365,-70.1463506,"IQUIQUE, BOLIVAR, 881"
16394,01/11/2021,9:20,IQUIQUE,Choque,Otras causas,0,0,0,0,2,URBANO,MARISCAL CASTILLO,,2854,,,-20.2416481,-70.1400189,"IQUIQUE, MARISCAL CASTILLO, 2854"
16395,01/11/2021,11:00,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,0,2,URBANO,CESPEDEZ Y GONZALEZ,GENARO GALLO,,,,-20.2249004,-70.1370717,"IQUIQUE, CESPEDEZ Y GONZALEZ, GENARO GALLO"
16396,01/11/2021,11:30,ALTO HOSPICIO,Colisión,Conducción en estado de ebriedad,0,0,0,0,2,URBANO,AVENIDA LAS PARCELAS,CALETERA A-16,,,,-20.2699639,-70.0939906,"ALTO HOSPICIO, AVENIDA LAS PARCELAS, CALETERA A-16"
16397,01/11/2021,15:30,IQUIQUE,Colisión,"Señalización, desobedecer señal pare",0,0,0,2,0,URBANO,FCO. VERGARA,SANTIAGO POLANCO,,,,-20.2471645,-70.1350603,"IQUIQUE, FCO. VERGARA, SANTIAGO POLANCO"
